Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,Training time,Testing time,TP,FP,TN,FN
Naive Bayes,73.95,75.51,17.79,86.12,68.81,76.5,2.5,0.01,1061,171,790,481
Decision Tree,85.22,84.57,18.21,88.5,87.35,87.92,6.22,0.0,1347,175,786,195
k-Nearest Neighbors,92.77,91.86,12.07,92.72,95.78,94.23,29.39,1.45,1477,116,845,65
SVM,95.13,95.14,4.79,96.96,95.07,96.01,807.2,0.53,1466,46,915,76
Random Forest,94.45,93.94,8.22,94.94,96.11,95.52,350.02,0.89,1482,79,882,60
